,Unnamed: 0,MATNR,TYPE,VKORG,WAERS,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,RGITV,EXPRT
94,94,275,20,1001.0,3,30.73,1,60,201910,0,22400.0,-2.5,-1.3
95,95,276,20,1001.0,3,30.73,1,60,201910,0,86400.0,-2.5,-1.3
96,96,277,20,1001.0,3,30.73,1,60,201910,0,69600.0,-2.5,-1.3
97,97,278,20,1001.0,3,30.73,1,60,201910,0,8000.0,-2.5,-1.3
98,98,280,20,1001.0,3,30.73,1,60,201910,0,46000.0,-2.5,-1.3
99,99,281,20,1001.0,3,30.73,1,60,201910,0,14000.0,-2.5,-1.3
100,100,282,20,1001.0,3,30.73,1,60,201910,0,28000.0,-2.5,-1.3
101,101,283,20,1001.0,3,30.73,1,60,201910,0,6000.0,-2.5,-1.3
102,102,283,26,1001.0,3,30.73,1,60,201910,0,113.0,-2.5,-1.3
103,103,284,26,1001.0,3,30.73,1,60,201910,0,2500.0,-2.5,-1.3
104,104,285,20,1001.0,3,30.73,1,60,201910,0,2500.0,-2.5,-1.3
105,105,286,20,1001.0,3,30.73,1,60,201910,0,42500.0,-2.5,-1.3
106,106,287,20,1001.0,3,30.73,1,60,201910,0,5000.0,-2.5,-1.3
107,107,288,20,1001.0,3,30.73,1,60,201910,0,17500.0,-2.5,-1.3
108,108,289,20,1001.0,3,30.73,1,60,201910,0,15000.0,-2.5,-1.3
109,109,291,20,1001.0,3,30.73,1,60,201910,0,2260.0,-2.5,-1.3
110,110,293,20,1001.0,3,30.73,1,60,201910,0,29600.0,-2.5,-1.3
111,111,294,20,1001.0,3,30.73,1,60,201910,0,2400.0,-2.5,-1.3
112,112,295,20,1001.0,3,30.73,1,60,201910,0,20800.0,-2.5,-1.3
113,113,296,20,1001.0,3,30.73,1,60,201910,0,21600.0,-2.5,-1.3
114,114,297,18,1001.0,3,30.73,1,60,201910,0,12000.0,-2.5,-1.3
115,115,297,20,1001.0,3,30.73,1,60,201910,0,6746.0,-2.5,-1.3
116,116,297,26,1001.0,3,30.73,1,60,201910,0,3000.0,-2.5,-1.3
117,117,302,18,1001.0,3,30.73,1,60,201910,0,4200.0,-2.5,-1.3
118,118,302,20,1001.0,3,30.73,1,60,201910,0,2417.0,-2.5,-1.3
119,119,304,20,1001.0,3,30.73,1,60,201910,0,24755.0,-2.5,-1.3
120,120,305,20,1001.0,3,30.73,1,60,201910,0,57.0,-2.5,-1.3
121,121,305,26,1001.0,3,30.73,1,60,201910,0,300.0,-2.5,-1.3
122,122,306,26,1001.0,3,30.73,1,60,201910,0,450.0,-2.5,-1.3
123,123,307,18,1001.0,3,30.73,1,60,201910,0,900.0,-2.5,-1.3
124,124,307,20,1001.0,3,30.73,1,60,201910,0,585.0,-2.5,-1.3
125,125,307,26,1001.0,3,30.73,1,60,201910,0,1200.0,-2.5,-1.3
126,126,319,18,1001.0,3,30.73,1,60,201910,0,18000.0,-2.5,-1.3
127,127,319,20,1001.0,3,30.73,1,60,201910,0,56129.0,-2.5,-1.3
128,128,320,20,1001.0,3,30.73,1,60,201910,0,300.0,-2.5,-1.3
129,129,321,20,1001.0,3,30.73,1,60,201910,0,440.0,-2.5,-1.3
130,130,322,20,1001.0,3,30.73,1,60,201910,0,1200.0,-2.5,-1.3
131,131,323,20,1001.0,3,30.73,1,60,201910,0,1000.0,-2.5,-1.3
132,132,331,26,1001.0,3,30.73,1,60,201910,0,1750.0,-2.5,-1.3
133,133,333,26,1001.0,3,30.73,1,60,201910,0,660.0,-2.5,-1.3
134,134,335,26,1001.0,3,30.73,1,60,201910,0,1980.0,-2.5,-1.3
135,135,339,20,1001.0,3,30.73,1,60,201910,0,92.0,-2.5,-1.3
136,136,342,20,1001.0,3,30.73,1,60,201910,0,1400.0,-2.5,-1.3
137,137,344,26,1001.0,3,30.73,1,60,201910,0,310.0,-2.5,-1.3
138,138,353,26,1001.0,2,1.0,1,74,201910,0,8734.0,-2.5,-1.3
139,139,367,26,1001.0,2,1.0,1,74,201910,0,13205.0,-2.5,-1.3
140,140,372,26,1001.0,2,1.0,1,74,201910,0,718.0,-2.5,-1.3
141,141,373,26,1001.0,2,1.0,1,74,201910,0,838.0,-2.5,-1.3
