VBELN,VKORG,KUNNR,CTLPC,WAERS,AMTBL
500000243,1001.00 ,100118.00 ,R01,USD,0.00 
500000244,1001.00 ,100118.00 ,R01,USD,0.00 
500000245,1004.00 ,100218.00 ,R01,USD,0.00 
500000246,1004.00 ,100217.00 ,R01,USD,0.00 
500000247,1004.00 ,100246.00 ,R01,USD,0.00 
500000248,1002.00 ,2902.00 ,R99,USD,0.00 
500000249,1003.00 ,100178.00 ,R01,USD,0.00 
500000250,1004.00 ,100270.00 ,R01,USD,0.00 
500000251,1002.00 ,2902.00 ,R99,USD,0.00 
500000252,2002.00 ,100207.00 ,R01,USD,0.00 
500000253,1002.00 ,2902.00 ,R99,USD,0.00 
500000254,1002.00 ,2902.00 ,R99,USD,0.00 
500000255,1005.00 ,100014.00 ,R01,TWD,0.00 
500000256,1005.00 ,100024.00 ,R01,TWD,0.00 
500000257,1005.00 ,100012.00 ,R01,TWD,0.00 
500000258,1005.00 ,100012.00 ,R01,TWD,0.00 
500000259,1005.00 ,100013.00 ,R01,TWD,0.00 
500000260,1001.00 ,100133.00 ,R01,TWD,35067.00 
500000261,1001.00 ,100118.00 ,R01,USD,0.00 
500000262,1002.00 ,2002.00 ,,USD,0.00 
500000263,1004.00 ,100254.00 ,R01,EUR,0.00 
500000264,1002.00 ,2902.00 ,R99,USD,0.00 
500000265,2002.00 ,100207.00 ,R01,USD,0.00 
500000266,1002.00 ,2902.00 ,R99,USD,0.00 
500000267,2002.00 ,100207.00 ,R01,USD,0.00 
500000268,1005.00 ,100001.00 ,R01,TWD,0.00 
500000269,1001.00 ,100173.00 ,R01,USD,0.00 
500000270,1005.00 ,100013.00 ,R01,TWD,0.00 
500000271,1001.00 ,1007.00 ,,TWD,0.00 
500000272,1001.00 ,100133.00 ,R01,TWD,19320.00 
500000273,1001.00 ,100133.00 ,R01,TWD,9096.00 
500000274,1004.00 ,100283.00 ,R01,EUR,0.00 
500000275,1005.00 ,100011.00 ,R01,TWD,0.00 
500000276,1001.00 ,100133.00 ,R01,TWD,0.00 
500000277,1001.00 ,100133.00 ,R01,TWD,13390.00 
500000278,1003.00 ,100179.00 ,R01,USD,0.00 
500000279,1003.00 ,100179.00 ,R01,USD,0.00 
500000280,1005.00 ,100020.00 ,R01,USD,0.00 
500000281,1005.00 ,100022.00 ,R01,USD,333520.00 
500000282,2002.00 ,100207.00 ,R01,USD,0.00 
500000283,2002.00 ,100213.00 ,R01,USD,0.00 
500000284,1005.00 ,100018.00 ,R01,TWD,43999.00 
500000285,1005.00 ,100007.00 ,R01,TWD,10899.00 
500000286,1006.00 ,100310.00 ,R01,TWD,0.00 
500000287,1006.00 ,100310.00 ,R01,TWD,0.00 
500000288,1001.00 ,100118.00 ,R01,USD,0.00 
500000289,1001.00 ,100118.00 ,R01,USD,0.00 
500000290,2002.00 ,1002.00 ,,USD,0.00 
500000291,2002.00 ,1002.00 ,,USD,0.00 
500000292,1001.00 ,100118.00 ,R01,USD,0.00 
500000293,2002.00 ,1002.00 ,,USD,0.00 
500000294,2002.00 ,100207.00 ,R01,USD,0.00 
500000295,1005.00 ,100022.00 ,R01,USD,499385.00 
500000296,1005.00 ,100019.00 ,R01,USD,0.00 
500000297,1007.00 ,100036.00 ,R01,USD,0.00 
500000298,1005.00 ,100004.00 ,R01,TWD,33054.00 
500000299,1007.00 ,100036.00 ,R01,USD,0.00 
500000300,2002.00 ,100207.00 ,R01,USD,0.00 
500000301,1007.00 ,100036.00 ,R01,USD,0.00 
500000302,2002.00 ,100207.00 ,R01,USD,0.00 
500000303,1007.00 ,100036.00 ,R01,USD,0.00 
500000304,2002.00 ,100207.00 ,R01,USD,0.00 
500000305,2002.00 ,100207.00 ,R01,USD,0.00 
500000306,2002.00 ,100207.00 ,R01,USD,0.00 
500000307,1001.00 ,100170.00 ,R01,USD,0.00 
500000308,1002.00 ,100195.00 ,R01,USD,0.00 
500000309,2002.00 ,1002.00 ,,USD,0.00 
500000310,2002.00 ,1002.00 ,,USD,0.00 
500000311,1005.00 ,100024.00 ,R01,TWD,0.00 
500000312,1005.00 ,100024.00 ,R01,TWD,0.00 
500000313,1004.00 ,100296.00 ,R01,USD,0.00 
500000314,1005.00 ,100013.00 ,R01,TWD,0.00 
500000315,1005.00 ,100014.00 ,R01,TWD,0.00 
500000316,1005.00 ,100007.00 ,R01,TWD,19900.00 
500000317,1005.00 ,100018.00 ,R01,TWD,41477.00 
500000318,1005.00 ,100024.00 ,R01,TWD,0.00 
500000319,1005.00 ,100010.00 ,R01,USD,152795.00 
500000320,1011.00 ,1004.00 ,,TWD,0.00 
500000321,1011.00 ,1004.00 ,,TWD,0.00 
500000322,1002.00 ,1006.00 ,,TWD,0.00 
500000323,1002.00 ,1006.00 ,,TWD,0.00 
500000324,1001.00 ,100118.00 ,R01,USD,0.00 
500000325,1005.00 ,100012.00 ,R01,TWD,22050.00 
500000326,1005.00 ,100013.00 ,R01,TWD,0.00 
500000327,1005.00 ,100021.00 ,R01,USD,597177.00 
500000328,1003.00 ,100179.00 ,R01,USD,0.00 
500000329,1003.00 ,100179.00 ,R01,USD,0.00 
500000330,1003.00 ,100178.00 ,R01,USD,2311348.00 
500000331,1003.00 ,100178.00 ,R01,USD,0.00 
500000332,1001.00 ,100118.00 ,R01,USD,0.00 
500000333,2002.00 ,100207.00 ,R01,USD,0.00 
500000334,2002.00 ,100207.00 ,R01,USD,0.00 
500000335,1002.00 ,2902.00 ,R99,USD,0.00 
500000336,2002.00 ,100208.00 ,R01,USD,0.00 
500000337,1001.00 ,100133.00 ,R01,TWD,0.00 
500000338,2002.00 ,100208.00 ,R01,USD,0.00 
500000339,2002.00 ,100208.00 ,R01,USD,0.00 
500000340,2002.00 ,1002.00 ,,USD,0.00 
500000341,2002.00 ,1002.00 ,,USD,0.00 
500000342,1002.00 ,2902.00 ,R99,USD,0.00 
500000343,2002.00 ,100208.00 ,R01,USD,0.00 
500000344,2002.00 ,1002.00 ,,USD,0.00 
500000345,1001.00 ,100034.00 ,R01,USD,0.00 
500000346,1011.00 ,1002.00 ,,TWD,0.00 
500000347,1003.00 ,100178.00 ,R01,USD,3585584.00 
500000348,1003.00 ,100178.00 ,R01,USD,0.00 
500000349,1001.00 ,100154.00 ,R01,EUR,0.00 
500000350,1001.00 ,100127.00 ,R01,TWD,0.00 
500000351,1001.00 ,100153.00 ,R01,USD,0.00 
500000352,1005.00 ,100004.00 ,R01,TWD,21853.00 
500000353,1005.00 ,100007.00 ,R01,TWD,9400.00 
500000354,1004.00 ,100255.00 ,R01,USD,0.00 
500000355,1004.00 ,100255.00 ,R01,USD,0.00 
500000356,1004.00 ,100255.00 ,R01,USD,0.00 
500000357,1002.00 ,2902.00 ,R99,USD,0.00 
500000358,1002.00 ,100201.00 ,R01,USD,0.00 
500000359,1007.00 ,1001.00 ,,TWD,0.00 
500000360,1003.00 ,100182.00 ,R01,USD,0.00 
500000361,1002.00 ,2002.00 ,,USD,0.00 
500000362,1001.00 ,100118.00 ,R01,USD,0.00 
